,Open,High,Low,Close,Adj Close,Volume
2000-01-03 00:00:00,28.805216,30.005434,28.736633,28.976677,16.351425,1094181.0
2000-01-04 00:00:00,28.976677,28.925238,26.953453,27.690729,15.625772,1671548.0
2000-01-05 00:00:00,27.09062,27.605,26.679117,27.433538,15.480634,1033053.0
2000-01-06 00:00:00,27.073475,29.93685,27.022036,29.405325,16.593309,1678435.0
2000-01-07 00:00:00,29.405325,30.691273,28.890945,29.045259,16.390123,2659862.0
2000-01-10 00:00:00,29.319595,29.885412,28.016502,28.033648,15.819275,1533078.0
2000-01-11 00:00:00,29.113844,29.113844,27.776459,27.776459,15.674146,1469442.0
2000-01-12 00:00:00,27.560419,28.668049,27.490122,28.098803,15.856039,1789278.0
2000-01-13 00:00:00,28.479443,29.045259,28.187962,28.753778,16.225641,1378540.0
2000-01-14 00:00:00,29.045259,29.38818,28.530882,29.38818,16.583632,1129035.0
2000-01-17 00:00:00,29.38818,29.456762,28.205109,28.410858,16.032135,1802908.0
2000-01-18 00:00:00,28.770926,28.976677,28.119377,28.119377,15.867649,1327280.0
2000-01-19 00:00:00,28.290838,28.153669,27.262079,27.622145,15.587063,1427111.0
2000-01-20 00:00:00,27.536415,27.827896,26.576241,26.576241,14.996866,2236649.0
2000-01-21 00:00:00,26.66197,26.747702,25.718943,25.73609,14.522773,1715249.0
2000-01-24 00:00:00,26.66197,27.124912,26.370489,26.919161,15.190374,1181059.0
2000-01-25 00:00:00,26.919161,27.056328,26.267614,26.267614,14.822706,845855.0
2000-01-26 00:00:00,26.404781,26.884869,26.319052,26.576241,14.996866,879384.0
2000-01-27 00:00:00,26.576241,27.159204,26.507658,26.507658,14.958166,3085402.0
2000-01-28 00:00:00,27.00489,27.00489,26.233322,26.884869,15.171022,973902.0
2000-01-31 00:00:00,26.936308,26.953453,26.319052,26.953453,15.209726,888570.0
2000-02-01 00:00:00,27.09062,27.433538,26.833431,27.17635,15.335505,1400644.0
2000-02-02 00:00:00,27.17635,27.742167,26.919161,27.742167,15.654791,761077.0
2000-02-03 00:00:00,27.776459,27.776459,27.347811,27.605,15.577387,1013433.0
2000-02-04 00:00:00,27.279226,27.947918,26.953453,27.605,15.577387,845493.0
2000-02-07 00:00:00,27.605,27.776459,26.747702,26.781994,15.11297,697954.0
2000-02-08 00:00:00,26.953453,27.502123,26.421928,26.679117,15.054921,830422.0
2000-02-09 00:00:00,27.09062,27.09062,25.907549,25.907549,14.619525,815492.0
2000-02-10 00:00:00,26.044718,26.19903,25.513191,25.890404,14.609848,1077174.0
2000-02-11 00:00:00,26.061863,26.147593,24.861645,25.204563,14.222834,1456471.0
2000-02-14 00:00:00,25.616068,25.701797,25.290295,25.376024,14.31959,795942.0
2000-02-15 00:00:00,25.650358,25.650358,24.861645,24.861645,14.029328,789946.0
2000-02-16 00:00:00,25.341732,25.376024,24.827353,25.067396,14.145432,944613.0
2000-02-17 00:00:00,25.015959,25.890404,24.964521,25.890404,14.609848,874713.0
2000-02-18 00:00:00,25.547483,25.890404,24.107224,24.107224,13.603607,1769693.0
2000-02-21 00:00:00,24.210098,25.153126,24.210098,24.775915,13.980949,825016.0
2000-02-22 00:00:00,24.775915,25.170273,24.175808,24.432997,13.787443,757659.0
2000-02-23 00:00:00,25.170273,25.650358,24.878792,25.376024,14.31959,934085.0
2000-02-24 00:00:00,25.701797,25.890404,25.204563,25.478901,14.377644,836762.0
2000-02-25 00:00:00,25.478901,25.976133,24.861645,25.290295,14.27121,2017174.0
2000-02-28 00:00:00,25.290295,25.376024,24.278683,24.690186,13.932572,1534612.0
2000-02-29 00:00:00,24.913082,25.033106,24.004347,24.038639,13.564906,2523165.0
2000-03-01 00:00:00,24.33012,25.033106,23.850033,24.484434,13.816466,1624178.0
2000-03-02 00:00:00,24.33012,24.655893,23.935762,24.347265,13.739065,1513819.0
2000-03-03 00:00:00,24.141516,24.347265,23.489967,23.970055,13.526208,1448200.0
2000-03-06 00:00:00,24.261536,24.67304,24.038639,24.67304,13.922898,1484576.0
2000-03-07 00:00:00,24.707331,24.758768,24.055784,24.690186,13.932572,819259.0
2000-03-08 00:00:00,24.347265,24.484434,23.695721,24.090076,13.593935,1248200.0
2000-03-09 00:00:00,24.090076,24.158661,23.284218,23.52426,13.274641,1554645.0
2000-03-10 00:00:00,23.575699,23.884325,22.752691,22.752691,12.839252,1317744.0
2000-03-13 00:00:00,23.095612,23.232779,22.152582,22.289751,12.578015,1558740.0
2000-03-14 00:00:00,22.752691,24.038639,22.632669,23.164194,13.071461,1474597.0
2000-03-15 00:00:00,23.815741,23.815741,23.181341,23.3528,13.177893,1047891.0
2000-03-16 00:00:00,24.004347,25.033106,23.781448,24.690186,13.932572,1576207.0
2000-03-17 00:00:00,25.204563,25.376024,24.398705,24.398705,13.768088,730889.0
2000-03-20 00:00:00,24.055784,24.124369,23.3528,23.695721,13.371397,964816.0
2000-03-21 00:00:00,23.661428,24.655893,23.644281,23.90147,13.487503,774695.0
2000-03-22 00:00:00,24.210098,24.827353,24.175808,24.347265,13.739065,952673.0
2000-03-23 00:00:00,24.604456,24.861645,24.347265,24.67304,13.922898,1081298.0
2000-03-24 00:00:00,25.101688,25.410316,24.690186,25.238855,14.242182,1330313.0
2000-03-27 00:00:00,25.496046,25.496046,24.861645,24.895937,14.048676,748456.0
2000-03-28 00:00:00,24.981667,25.290295,24.535872,24.775915,13.980949,1169062.0
2000-03-29 00:00:00,24.8445,25.701797,24.604456,25.547483,14.416341,586441.0
